EAN;Omschrijving;Thema;Potkleur;Nederlandse naam
8,71719E+12;Achillea mill. 'Milly Rock Red';Bijen- en vlinderlokkers;Blauw;Achillea
8,71719E+12;Achillea mill. 'Milly Rock Rose';Bijen- en vlinderlokkers;Blauw;Achillea
8,71719E+12;Achillea mill. 'Milly Rock Yellow Terracotta';Bijen- en vlinderlokkers;Blauw;Achillea
8,71347E+12;Achillea ptarm. 'The Pearl';Bijen- en vlinderlokkers;Blauw;Achillea
8,71204E+12;Agapanthus africanus;Bijen- en vlinderlokkers;Blauw;Agapanthus
8,71204E+12;Agapanthus africanus 'Albus';Bijen- en vlinderlokkers;Blauw;Agapanthus
8,71204E+12;Alcea rosea 'Nigra';Bijen- en vlinderlokkers;Blauw;Alcea
8,71282E+12;Alcea rosea 'Pleniflora' Rood;Bijen- en vlinderlokkers;Blauw;Alcea
8,71282E+12;Alcea rosea 'Pleniflora' Rose;Bijen- en vlinderlokkers;Blauw;Alcea
8,71282E+12;Alcea rosea 'Pleniflora' Wit;Bijen- en vlinderlokkers;Blauw;Alcea
8,71347E+12;Allium senescens;Bijen- en vlinderlokkers;Blauw;Allium
8,71347E+12;Aster (D) 'Jenny';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster (D) 'Lady in Blue';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster (D) 'Mittelmeer';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster (D) 'Pr. A. Kippenberg';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster (D) 'Schneekissen';Bijen- en vlinderlokkers;Blauw;Aster
8,71282E+12;Aster ager. 'Ashvi';Bijen- en vlinderlokkers;Blauw;Aster
8,71719E+12;Aster ager. 'Asmoe';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster ager. 'Asran';Bijen- en vlinderlokkers;Blauw;Aster
8,71719E+12;Aster ager. 'Ezo Murazaki';Bijen- en vlinderlokkers;Blauw;Aster
8,71719E+12;Aster ager. 'Pollux' ;Bijen- en vlinderlokkers;Blauw;Aster
8,71282E+12;Aster ager. 'Stardust';Bijen- en vlinderlokkers;Blauw;Aster
8,71719E+12;Aster ager. 'Starshine';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster frikartii 'Mönch';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Aster n.-a. 'Purple Dome';Bijen- en vlinderlokkers;Blauw;Aster
8,71719E+12;Aster novi-belgii 'Neron';Bijen- en vlinderlokkers;Blauw;Aster
8,71204E+12;Aster 'Wood's Pink';Bijen- en vlinderlokkers;Blauw;Aster
8,71204E+12;Aster 'Wood's Purple';Bijen- en vlinderlokkers;Blauw;Aster
8,71347E+12;Buphthalmum salicifolium;Bijen- en vlinderlokkers;Blauw;Buphthalmum
8,71719E+12;Camassia leichtlinii 'Caerulea';Bijen- en vlinderlokkers;Blauw;Camassia
8,71347E+12;Campanula glom. 'Alba';Bijen- en vlinderlokkers;Blauw;Campanula
8,71347E+12;Campanula glomerata;Bijen- en vlinderlokkers;Blauw;Campanula
8,71204E+12;Campanula lact. 'Loddon Anna';Bijen- en vlinderlokkers;Blauw;Campanula
8,71204E+12;Campanula lact. 'Prichard's Variety';Bijen- en vlinderlokkers;Blauw;Campanula
8,71347E+12;Campanula pers. 'Alba';Bijen- en vlinderlokkers;Blauw;Campanula
8,71347E+12;Campanula persicifolia;Bijen- en vlinderlokkers;Blauw;Campanula
8,71347E+12;Catananche caerulea;Bijen- en vlinderlokkers;Blauw;Catananche
8,71347E+12;Catananche caerulea 'Alba';Bijen- en vlinderlokkers;Blauw;Catananche
8,71347E+12;Centaurea dealbata;Bijen- en vlinderlokkers;Blauw;Centaurea
8,71347E+12;Centaurea montana 'Grandiflora';Bijen- en vlinderlokkers;Blauw;Centaurea
8,71204E+12;Cephalaria gigantea;Bijen- en vlinderlokkers;Blauw;Cephalaria
8,71719E+12;Coreopsis 'Full Moon';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71204E+12;Coreopsis grand. 'Sonnenkind';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71719E+12;Coreopsis 'Redshift';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71347E+12;Coreopsis rosea 'American Dream';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71347E+12;Coreopsis vert. 'Moonbeam';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71719E+12;Coreopsis vert. 'Ruby Red';Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71347E+12;Coreopsis verticillata;Bijen- en vlinderlokkers;Blauw;Coreopsis
8,71282E+12;Crocosmia 'George Davidson';Bijen- en vlinderlokkers;Blauw;Crocosmia
8,71204E+12;Crocosmia 'Lucifer';Bijen- en vlinderlokkers;Blauw;Crocosmia
8,71347E+12;Crocosmia 'Red King';Bijen- en vlinderlokkers;Blauw;Crocosmia
8,71204E+12;Delphinium (P) 'Astolat';Bijen- en vlinderlokkers;Blauw;Delphinium
